age,gender,deaths_2019,pop
0-4,Male,4863,1909
5-9,Male,473,1901
10-14,Male,653,2012
15-19,Male,2841,2190
20-24,Male,4700,2245
25-29,Male,4615,2201
30-34,Male,4148,1989
35-39,Male,3891,1812
40-44,Male,3727,1602
45-49,Male,4050,1405
50-54,Male,5535,1364
55-59,Male,7310,1201
60-64,Male,9596,924
65-69,Male,11365,743
70-74,Male,12797,509
75-79,Male,14295,331
80-84,Male,15046,210
85-89,Male,12647,109
90-94,Male,7698,44
95-99,Male,2752,12
100+,Male,580,1
0-4,Female,3783,1821
5-9,Female,367,1817
10-14,Female,472,1926
15-19,Female,904,2103
20-24,Female,1139,2175
25-29,Female,1275,2158
30-34,Female,1442,1989
35-39,Female,1762,1877
40-44,Female,2191,1741
45-49,Female,2812,1591
50-54,Female,3853,1524
55-59,Female,5300,1357
60-64,Female,6843,1092
65-69,Female,8288,875
70-74,Female,9692,616
75-79,Female,11944,427
80-84,Female,14818,287
85-89,Female,15122,160
90-94,Female,10922,67
95-99,Female,4713,20
100+,Female,1238,2
