age,gender,deaths,pop
0-4,male,1623,2023
5-9,male,129,2105
10-14,male,187,1985
15-19,male,458,1880
20-24,male,979,2097
25-29,male,1269,2285
30-34,male,1646,2344
35-39,male,2239,2246
40-44,male,2899,2129
45-49,male,4986,2154
50-54,male,7774,2301
55-59,male,10874,2197
60-64,male,14333,1869
65-69,male,20378,1658
70-74,male,30947,1596
75-79,male,35983,1089
80-84,male,44736,749
85-89,male,44386,432
90+,male,39470,214
0-4,female,1309,1928
5-9,female,122,2009
10-14,female,122,1899
15-19,female,262,1805
20-24,female,389,2024
25-29,female,562,2225
30-34,female,880,2340
35-39,female,1331,2274
40-44,female,1861,2142
45-49,female,3256,2200
50-54,female,5132,2374
55-59,female,7279,2267
60-64,female,9893,1931
65-69,female,13937,1749
70-74,female,22757,1734
75-79,female,28756,1255
80-84,female,41311,951
85-89,female,51872,632
90+,female,74504,442
