country,age,date,afr,gender,fertility_rate
France,15-19,2015,0.007175547,Female,7.175547269
France,15-19,2016,0.006544537,Female,6.544537287
France,15-19,2017,0.006184048,Female,6.18404787
France,15-19,2018,0.006086196,Female,6.086195984
France,15-19,2019,0.006141241,Female,6.141240761
France,20-24,2015,0.048624168,Female,48.62416775
France,20-24,2016,0.046356735,Female,46.35673493
France,20-24,2017,0.044490677,Female,44.49067681
France,20-24,2018,0.043368173,Female,43.36817306
France,20-24,2019,0.043225365,Female,43.22536539
France,25-29,2015,0.119909448,Female,119.9094482
France,25-29,2016,0.115864221,Female,115.8642206
France,25-29,2017,0.11320997,Female,113.2099705
France,25-29,2018,0.112267802,Female,112.2678024
France,25-29,2019,0.112267718,Female,112.2677176
France,30-34,2015,0.122134462,Female,122.1344625
France,30-34,2016,0.121049835,Female,121.0498345
France,30-34,2017,0.120184062,Female,120.1840624
France,30-34,2018,0.120102347,Female,120.102347
France,30-34,2019,0.120608378,Female,120.6083784
France,35-39,2015,0.061831453,Female,61.83145274
France,35-39,2016,0.062426008,Female,62.42600848
France,35-39,2017,0.062841972,Female,62.84197216
France,35-39,2018,0.063065463,Female,63.06546292
France,35-39,2019,0.063074609,Female,63.07460853
France,40-44,2015,0.013443111,Female,13.44311092
France,40-44,2016,0.013719577,Female,13.71957655
France,40-44,2017,0.014064931,Female,14.06493132
France,40-44,2018,0.014248489,Female,14.24848871
France,40-44,2019,0.014271281,Female,14.27128121
France,45-49,2015,7.86E-04,Female,0.785684069
France,45-49,2016,8.27E-04,Female,0.826822995
France,45-49,2017,8.95E-04,Female,0.894543889
France,45-49,2018,9.30E-04,Female,0.929644719
France,45-49,2019,9.29E-04,Female,0.929300394
France,50-54,2015,2.66E-05,Female,0.026640181
France,50-54,2016,2.80E-05,Female,0.028035078
France,50-54,2017,3.03E-05,Female,0.03033129
France,50-54,2018,3.15E-05,Female,0.031521453
France,50-54,2019,3.15E-05,Female,0.031509778
