age,gender,deaths_2018,pop
0-4,Male,1659,1985
5-9,Male,171,1888
10-14,Male,187,1966
15-19,Male,639,2174
20-24,Male,1054,2355
25-29,Male,1281,2567
30-34,Male,1724,2783
35-39,Male,2477,2642
40-44,Male,3587,2479
45-49,Male,7029,2887
50-54,Male,14672,3502
55-59,Male,23716,3277
60-64,Male,31978,2703
65-69,Male,41388,2164
70-74,Male,45755,1822
75-79,Male,78513,1739
80-84,Male,90025,1272
85-89,Male,72977,550
90-94,Male,40294,213
95-99,Male,10159,42
100+,Male,747,3
0-4,Female,1340,1884
5-9,Female,119,1773
10-14,Female,137,1827
15-19,Female,304,2006
20-24,Female,369,2166
25-29,Female,555,2373
30-34,Female,913,2626
35-39,Female,1356,2566
40-44,Female,1960,2444
45-49,Female,4031,2842
50-54,Female,7982,3461
55-59,Female,12736,3286
60-64,Female,17606,2823
65-69,Female,24272,2364
70-74,Female,29682,2060
75-79,Female,58787,2164
80-84,Female,86663,1793
85-89,Female,101091,967
90-94,Female,91677,517
95-99,Female,38556,155
100+,Female,4706,14
