age,gender,deaths_2018,pop
0-4,Male,15302,5694
5-9,Male,1295,5716
10-14,Male,1790,5713
15-19,Male,6574,5650
20-24,Male,11305,5512
25-29,Male,12928,5198
30-34,Male,12768,4589
35-39,Male,14188,4240
40-44,Male,16851,3981
45-49,Male,19718,3630
50-54,Male,23206,3086
55-59,Male,27871,2578
60-64,Male,31552,2032
65-69,Male,33367,1515
70-74,Male,35722,1049
75-79,Male,37082,721
80-84,Male,36470,432
85-89,Male,29780,242
90-94,Male,17547,106
95-99,Male,6991,33
100+,Male,1492,5
0-4,Female,12296,5444
5-9,Female,1120,5461
10-14,Female,1305,5485
15-19,Female,2409,5506
20-24,Female,3104,5457
25-29,Female,3615,5307
30-34,Female,4128,4925
35-39,Female,5304,4661
40-44,Female,7596,4433
45-49,Female,10547,4068
50-54,Female,14493,3484
55-59,Female,19294,2894
60-64,Female,23839,2331
65-69,Female,26505,1754
70-74,Female,29790,1233
75-79,Female,33974,879
80-84,Female,37484,573
85-89,Female,35650,351
90-94,Female,24563,164
95-99,Female,10753,53
100+,Female,2744,8
