age,gender,deaths_2018,pop
0-4,Male,3171,1410
5-9,Male,361,1390
10-14,Male,417,1359
15-19,Male,856,1262
20-24,Male,1370,1322
25-29,Male,1558,1371
30-34,Male,1572,1294
35-39,Male,1726,1198
40-44,Male,1954,1071
45-49,Male,2211,946
50-54,Male,2710,813
55-59,Male,3317,683
60-64,Male,3949,561
65-69,Male,4703,440
70-74,Male,5784,310
75-79,Male,6249,224
80-84,Male,7263,143
85-89,Male,6601,65
90-94,Male,4147,20
95-99,Male,1429,4
100+,Male,267,0
0-4,Female,2636,1347
5-9,Female,279,1379
10-14,Female,325,1366
15-19,Female,501,1316
20-24,Female,566,1388
25-29,Female,673,1341
30-34,Female,786,1246
35-39,Female,950,1159
40-44,Female,1226,1064
45-49,Female,1635,961
50-54,Female,2009,847
55-59,Female,2494,714
60-64,Female,3138,592
65-69,Female,3857,473
70-74,Female,4732,344
75-79,Female,5693,257
80-84,Female,6793,171
85-89,Female,7095,93
90-94,Female,5166,33
95-99,Female,2172,8
100+,Female,36,1
