age,gender,deaths_2018,pop
0-4,Male,966,946
5-9,Male,105,1016
10-14,Male,145,965
15-19,Male,464,906
20-24,Male,982,1105
25-29,Male,1454,1355
30-34,Male,2222,1564
35-39,Male,3215,1628
40-44,Male,4696,1430
45-49,Male,6155,1218
50-54,Male,9027,1109
55-59,Male,15990,1232
60-64,Male,25329,1293
65-69,Male,30624,1036
70-74,Male,24914,664
75-79,Male,23752,381
80-84,Male,26666,303
85-89,Male,23104,159
90-94,Male,11028,58
95-99,Male,2583,13
100+,Male,226,1
0-4,Female,767,897
5-9,Female,77,965
10-14,Female,120,919
15-19,Female,209,874
20-24,Female,262,1064
25-29,Female,352,1273
30-34,Female,620,1444
35-39,Female,957,1537
40-44,Female,1484,1400
45-49,Female,2190,1215
50-54,Female,3423,1133
55-59,Female,6903,1318
60-64,Female,12332,1474
65-69,Female,16571,1296
70-74,Female,16987,922
75-79,Female,21293,633
80-84,Female,33746,590
85-89,Female,42369,376
90-94,Female,29513,166
95-99,Female,9270,42
100+,Female,1108,3
