age,gender,deaths_2016,pop
0-4,Male,14649,2944
5-9,Male,1672,2841
10-14,Male,1781,2514
15-19,Male,4019,2438
20-24,Male,8272,2574
25-29,Male,12851,2725
30-34,Male,16597,2530
35-39,Male,16535,2045
40-44,Male,17270,1708
45-49,Male,16890,1428
50-54,Male,18470,1171
55-59,Male,19796,942
60-64,Male,20689,730
65-69,Male,19486,495
70-74,Male,15753,333
75-79,Male,14361,195
80-84,Male,9280,91
85-89,Male,6736,28
90-94,Male,2975,4
95-99,Male,1211,0
100+,Male,304,0
0-4,Female,12565,2871
5-9,Female,1287,2777
10-14,Female,1298,2473
15-19,Female,2781,2402
20-24,Female,5375,2530
25-29,Female,9238,2671
30-34,Female,11769,2481
35-39,Female,11558,2035
40-44,Female,11898,1746
45-49,Female,11656,1498
50-54,Female,13093,1276
55-59,Female,14055,1085
60-64,Female,15633,896
65-69,Female,16168,654
70-74,Female,15632,486
75-79,Female,17829,329
80-84,Female,16031,181
85-89,Female,14525,68
90-94,Female,7527,14
95-99,Female,3897,1
100+,Female,1018,0
