age,gender,deaths_2018,pop
0-4,Male,679,1042
5-9,Male,101,1244
10-14,Male,102,1244
15-19,Male,250,1130
20-24,Male,393,1164
25-29,Male,560,1225
30-34,Male,741,1414
35-39,Male,1224,1808
40-44,Male,2170,2066
45-49,Male,3716,1949
50-54,Male,6560,1782
55-59,Male,9768,1610
60-64,Male,12890,1327
65-69,Male,16462,1118
70-74,Male,22067,990
75-79,Male,24830,742
80-84,Male,36952,533
85-89,Male,40809,370
90-94,Male,25642,137
95-99,Male,7780,30
100+,Male,975,2
0-4,Female,540,983
5-9,Female,71,1167
10-14,Female,90,1168
15-19,Female,136,1072
20-24,Female,169,1112
25-29,Female,214,1190
30-34,Female,364,1418
35-39,Female,669,1801
40-44,Female,1227,1991
45-49,Female,2042,1876
50-54,Female,3312,1782
55-59,Female,4683,1668
60-64,Female,5974,1409
65-69,Female,7632,1227
70-74,Female,11208,1149
75-79,Female,16216,932
80-84,Female,32819,782
85-89,Female,51306,645
90-94,Female,46650,297
95-99,Female,20777,85
100+,Female,4383,9
