0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006119186581904466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006119186581904466,0.00611948111850762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006119186581904466,0.00611948111850762,0.006065006764152339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006119186581904466,0.00611948111850762,0.006065006764152339,0.006162914163253336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006119186581904466,0.00611948111850762,0.006065006764152339,0.006162914163253336,0.006522496099059844,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04307013617553265,0.00611948111850762,0.006065006764152339,0.006162914163253336,0.006522496099059844,0.007171936930353367,0,0,0,0,0,0,0,0,0,0,0,0
0.04307013617553265,0.04307220928303423,0.006065006764152339,0.006162914163253336,0.006522496099059844,0.007171936930353367,0.007905372782771336,0,0,0,0,0,0,0,0,0,0,0
0.04307013617553265,0.04307220928303423,0.04321718585110563,0.006162914163253336,0.006522496099059844,0.007171936930353367,0.007905372782771336,0.008432841799567702,0,0,0,0,0,0,0,0,0,0
