0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007380993908618267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007380993908618267,0.007380136800176419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007380993908618267,0.007380136800176419,0.00742025955024014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007380993908618267,0.007380136800176419,0.00742025955024014,0.007499448342743712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007380993908618267,0.007380136800176419,0.00742025955024014,0.007499448342743712,0.007538595251651278,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03187775516130209,0.007380136800176419,0.00742025955024014,0.007499448342743712,0.007538595251651278,0.007532058187184718,0,0,0,0,0,0,0,0,0,0,0,0
0.03187775516130209,0.03187405339790895,0.00742025955024014,0.007499448342743712,0.007538595251651278,0.007532058187184718,0.007519315524944779,0,0,0,0,0,0,0,0,0,0,0
0.03187775516130209,0.03187405339790895,0.03230372473976481,0.007499448342743712,0.007538595251651278,0.007532058187184718,0.007519315524944779,0.0075638542427665665,0,0,0,0,0,0,0,0,0,0
