0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0042358514711071694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0042358514711071694,0.004236158218401081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0042358514711071694,0.004236158218401081,0.004192776920784975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0042358514711071694,0.004236158218401081,0.004192776920784975,0.004249004568328851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0042358514711071694,0.004236158218401081,0.004192776920784975,0.004249004568328851,0.0044834616886364346,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0256871336884502,0.004236158218401081,0.004192776920784975,0.004249004568328851,0.0044834616886364346,0.004907718494804432,0,0,0,0,0,0,0,0,0,0,0,0
0.0256871336884502,0.02568899387141484,0.004192776920784975,0.004249004568328851,0.0044834616886364346,0.004907718494804432,0.005393713229529262,0,0,0,0,0,0,0,0,0,0,0
0.0256871336884502,0.02568899387141484,0.025641294720932902,0.004249004568328851,0.0044834616886364346,0.004907718494804432,0.005393713229529262,0.005729096021441363,0,0,0,0,0,0,0,0,0,0
