X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.863386834978294e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.863386834978294e-4,7.863956277190578e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.863386834978294e-4,7.863956277190578e-4,7.864533627060079e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.863386834978294e-4,7.863956277190578e-4,7.864533627060079e-4,8.737993947518503e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.863386834978294e-4,7.863956277190578e-4,7.864533627060079e-4,8.737993947518503e-4,0.001016293022469039,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008108917569499595,7.863956277190578e-4,7.864533627060079e-4,8.737993947518503e-4,0.001016293022469039,0.0010186380102552663,0,0,0,0,0,0,0,0,0,0,0,0
0.008108917569499595,0.008109504792290093,7.864533627060079e-4,8.737993947518503e-4,0.001016293022469039,0.0010186380102552663,0.0010762308142520992,0,0,0,0,0,0,0,0,0,0,0
