0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05439449383699911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05439449383699911,0.054402078897369845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05439449383699911,0.054402078897369845,0.05486064804792512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05439449383699911,0.054402078897369845,0.05486064804792512,0.05603236114218923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05439449383699911,0.054402078897369845,0.05486064804792512,0.05603236114218923,0.057540269649065126,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10773734467122416,0.054402078897369845,0.05486064804792512,0.05603236114218923,0.057540269649065126,0.05997883465348705,0,0,0,0,0,0,0,0,0,0,0,0
0.10773734467122416,0.10775236814521699,0.05486064804792512,0.05603236114218923,0.057540269649065126,0.05997883465348705,0.06162546218901412,0,0,0,0,0,0,0,0,0,0,0
0.10773734467122416,0.10775236814521699,0.108864331171388,0.05603236114218923,0.057540269649065126,0.05997883465348705,0.06162546218901412,0.06318292977233117,0,0,0,0,0,0,0,0,0,0
