0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011373524280073476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011373524280073476,0.011372716185815712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011373524280073476,0.011372716185815712,0.011273864967483314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011373524280073476,0.011372716185815712,0.011273864967483314,0.011393251173971098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011373524280073476,0.011372716185815712,0.011273864967483314,0.011393251173971098,0.011675236961127966,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04857691560309454,0.011372716185815712,0.011273864967483314,0.011393251173971098,0.011675236961127966,0.012092945907740247,0,0,0,0,0,0,0,0,0,0,0,0
0.04857691560309454,0.048573464190358066,0.011273864967483314,0.011393251173971098,0.011675236961127966,0.012092945907740247,0.012570302036852828,0,0,0,0,0,0,0,0,0,0,0
0.04857691560309454,0.048573464190358066,0.048972561296463636,0.011393251173971098,0.011675236961127966,0.012092945907740247,0.012570302036852828,0.013109989765945674,0,0,0,0,0,0,0,0,0,0
