0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0074024404215944474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0074024404215944474,0.007402527674331612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0074024404215944474,0.007402527674331612,0.007334422948716493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0074024404215944474,0.007402527674331612,0.007334422948716493,0.007314205255968478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0074024404215944474,0.007402527674331612,0.007334422948716493,0.007314205255968478,0.007383473182797004,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02514191999554517,0.007402527674331612,0.007334422948716493,0.007314205255968478,0.007383473182797004,0.0075811010186726336,0,0,0,0,0,0,0,0,0,0,0,0
0.02514191999554517,0.025142216343940055,0.007334422948716493,0.007314205255968478,0.007383473182797004,0.0075811010186726336,0.007880323066495817,0,0,0,0,0,0,0,0,0,0,0
0.02514191999554517,0.025142216343940055,0.025000491775080944,0.007314205255968478,0.007383473182797004,0.0075811010186726336,0.007880323066495817,0.008145710892147221,0,0,0,0,0,0,0,0,0,0
