0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018329970923738642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018329970923738642,0.01832937610223165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018329970923738642,0.01832937610223165,0.018082392174809198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018329970923738642,0.01832937610223165,0.018082392174809198,0.01832342299784981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018329970923738642,0.01832937610223165,0.018082392174809198,0.01832342299784981,0.019336665564954933,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06843160121599524,0.01832937610223165,0.018082392174809198,0.01832342299784981,0.019336665564954933,0.02114450325323308,0,0,0,0,0,0,0,0,0,0,0,0
0.06843160121599524,0.06842938055845409,0.018082392174809198,0.01832342299784981,0.019336665564954933,0.02114450325323308,0.02298330044135659,0,0,0,0,0,0,0,0,0,0,0
0.06843160121599524,0.06842938055845409,0.06837797516207944,0.01832342299784981,0.019336665564954933,0.02114450325323308,0.02298330044135659,0.02496720936029271,0,0,0,0,0,0,0,0,0,0
