0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00614124076143448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00614124076143448,0.00614124076143448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00614124076143448,0.00614124076143448,0.00608619598423672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00614124076143448,0.00614124076143448,0.00608619598423672,0.00618404787048686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00614124076143448,0.00614124076143448,0.00608619598423672,0.00618404787048686,0.00654453728681336,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0432253653882529,0.00614124076143448,0.00608619598423672,0.00618404787048686,0.00654453728681336,0.00717554726860172,0,0,0,0,0,0,0,0,0,0,0,0
0.0432253653882529,0.0432253653882529,0.00608619598423672,0.00618404787048686,0.00654453728681336,0.00717554726860172,0.00790935433541942,0,0,0,0,0,0,0,0,0,0,0
0.0432253653882529,0.0432253653882529,0.0433681730631627,0.00618404787048686,0.00654453728681336,0.00717554726860172,0.00790935433541942,0.00843710727341675,0,0,0,0,0,0,0,0,0,0
