0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00424833608596938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00424833608596938,0.00424833608596938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00424833608596938,0.00424833608596938,0.00420452139395244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00424833608596938,0.00424833608596938,0.00420452139395244,0.004260600292297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00424833608596938,0.00424833608596938,0.00420452139395244,0.004260600292297,0.00449538578887217,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0257628431351109,0.00424833608596938,0.00420452139395244,0.004260600292297,0.00449538578887217,0.00490944292154189,0,0,0,0,0,0,0,0,0,0,0,0
0.0257628431351109,0.0257628431351109,0.00420452139395244,0.004260600292297,0.00449538578887217,0.00490944292154189,0.00539561443264154,0,0,0,0,0,0,0,0,0,0,0
0.0257628431351109,0.0257628431351109,0.0257131190758935,0.004260600292297,0.00449538578887217,0.00490944292154189,0.00539561443264154,0.00573112833645429,0,0,0,0,0,0,0,0,0,0
