0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0552654464391559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0552654464391559,0.0552654464391559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0552654464391559,0.0552654464391559,0.0557243607479196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0552654464391559,0.0552654464391559,0.0557243607479196,0.0569114982782344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0552654464391559,0.0552654464391559,0.0557243607479196,0.0569114982782344,0.0584455143976128,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109462411200422,0.0552654464391559,0.0557243607479196,0.0569114982782344,0.0584455143976128,0.0600645876116191,0,0,0,0,0,0,0,0,0,0,0,0
0.109462411200422,0.109462411200422,0.0557243607479196,0.0569114982782344,0.0584455143976128,0.0600645876116191,0.0617131696605516,0,0,0,0,0,0,0,0,0,0,0
0.109462411200422,0.109462411200422,0.110578264724032,0.0569114982782344,0.0584455143976128,0.0600645876116191,0.0617131696605516,0.0632725430048777,0,0,0,0,0,0,0,0,0,0
