0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0114160762148466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0114160762148466,0.0114160762148466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0114160762148466,0.0114160762148466,0.011317659115525701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0114160762148466,0.0114160762148466,0.011317659115525701,0.011437313471328998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0114160762148466,0.0114160762148466,0.011317659115525701,0.011437313471328998,0.0117186393290132,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0487586571366176,0.0114160762148466,0.011317659115525701,0.011437313471328998,0.0117186393290132,0.012099182599802,0,0,0,0,0,0,0,0,0,0,0,0
0.0487586571366176,0.0487586571366176,0.011317659115525701,0.011437313471328998,0.0117186393290132,0.012099182599802,0.0125770133566803,0,0,0,0,0,0,0,0,0,0,0
0.0487586571366176,0.0487586571366176,0.0491627987709782,0.011437313471328998,0.0117186393290132,0.012099182599802,0.0125770133566803,0.0131172049501867,0,0,0,0,0,0,0,0,0,0
