0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00742452627068921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00742452627068921,0.00742452627068921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00742452627068921,0.00742452627068921,0.00735601595052822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00742452627068921,0.00742452627068921,0.00735601595052822,0.00733508310160873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00742452627068921,0.00742452627068921,0.00735601595052822,0.00733508310160873,0.00740333012546701,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0252169331830008,0.00742452627068921,0.00735601595052822,0.00733508310160873,0.00740333012546701,0.00758419534561903,0,0,0,0,0,0,0,0,0,0,0,0
0.0252169331830008,0.0252169331830008,0.00735601595052822,0.00733508310160873,0.00740333012546701,0.00758419534561903,0.00788362718518198,0,0,0,0,0,0,0,0,0,0,0
0.0252169331830008,0.0252169331830008,0.0250740947930645,0.00733508310160873,0.00740333012546701,0.00758419534561903,0.00788362718518198,0.00814922046168283,0,0,0,0,0,0,0,0,0,0
