0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0184561248068296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0184561248068296,0.0184561248068296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0184561248068296,0.0184561248068296,0.0182076721785021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0184561248068296,0.0184561248068296,0.0182076721785021,0.0184495901363171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0184561248068296,0.0184561248068296,0.0182076721785021,0.0184495901363171,0.0194675166499819,0,0,0,0,0,0,0,0,0,0,0,0,0
0.068902573715376,0.0184561248068296,0.0182076721785021,0.0184495901363171,0.0194675166499819,0.0211566129291286,0,0,0,0,0,0,0,0,0,0,0,0
0.068902573715376,0.068902573715376,0.0182076721785021,0.0184495901363171,0.0194675166499819,0.0211566129291286,0.0229965174637027,0,0,0,0,0,0,0,0,0,0,0
0.068902573715376,0.068902573715376,0.0688517174024868,0.0184495901363171,0.0194675166499819,0.0211566129291286,0.0229965174637027,0.0249816336303001,0,0,0,0,0,0,0,0,0,0
