age,gender,deaths,pop,nb_c,orphans
0-4,Female,1309,1928,0,0
0-4,Male,1623,2023,0,0
10-14,Female,122,1899,0,0
10-14,Male,187,1985,0,0
15-19,Female,262,1805,0.03504999800935853,9
15-19,Male,458,1880,0.06100370997540343,28
20-24,Female,389,2024,0.2251543105546095,88
20-24,Male,979,2097,0.22305894607181967,218
25-29,Female,562,2225,0.6779256337552383,381
25-29,Male,1269,2285,0.5835368311140395,741
30-34,Female,880,2340,1.287985414594127,1133
30-34,Male,1646,2344,1.1037239869391642,1817
35-39,Female,1331,2274,1.5872469924532708,2113
35-39,Male,2239,2246,1.4131796538382377,3164
40-44,Female,1861,2142,1.3940511324193887,2594
40-44,Male,2899,2129,1.440083760075853,4175
45-49,Female,3256,2200,0.8817278995162836,2871
45-49,Male,4986,2154,1.099730882189193,5483
5-9,Female,122,2009,0,0
5-9,Male,129,2105,0,0
50-54,Female,5132,2374,0.3547296822111778,1820
50-54,Male,7774,2301,0.5917991230410196,4601
55-59,Female,7279,2267,0.07894484471584723,575
55-59,Male,10874,2197,0.2416264224628738,2627
60-64,Female,9893,1931,0.00842364598761426,83
60-64,Male,14333,1869,0.08749123924840724,1254
65-69,Female,13937,1749,3.0757182601112395e-4,4
65-69,Male,20378,1658,0.03482029464296594,710
70-74,Female,22757,1734,0,0
70-74,Male,30947,1596,0.015041980599292527,466
75-79,Female,28756,1255,0,0
75-79,Male,35983,1089,0.010126906424690121,364
80-84,Female,41311,951,0,0
80-84,Male,44736,749,0.001377565262007144,62
85-89,Female,51872,632,0,0
85-89,Male,44386,432,0,0
90+,Female,74504,442,0,0
90+,Male,39470,214,0,0
