children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.006119186581904466,female,15
0.012238667700412086,female,16
0.018303674464564424,female,17
0.02446658862781776,female,18
0.030989084726877603,female,19
0.07511197125085915,female,20
0.1199700721981571,female,21
0.16555509308467808,female,22
0.21265740540607594,female,23
0.2615708562742704,female,24
0.3811956239250547,female,25
0.5032062528379398,female,26
0.6274016390407005,female,27
0.7530053098922883,female,28
0.8807109212530293,female,29
1.02025304885332,female,30
1.162308044852579,female,31
1.3028371700969223,female,32
1.4298018274350215,female,33
1.5556120995805587,female,34
1.6228977154221056,female,35
1.687710575542863,female,36
1.7520285237260276,female,37
1.7666298403417837,female,38
1.7790772931168992,female,39
1.7344543388272837,female,40
1.6802806216447705,female,41
1.6215445193735094,female,42
1.4899601463026029,female,43
1.3555508570537338,female,44
1.2108441680681574,female,45
1.0690320173956713,female,46
0.9282859417461962,female,47
0.8074391328475358,female,48
0.6867379283220411,female,49
0.563135879430155,female,50
0.439601206532963,female,51
0.3170035355177977,female,52
0.2607808091705075,female,53
0.2059620366851066,female,54
0.15336626667658837,female,55
0.10367230398797014,female,56
0.055152158881897444,female,57
0.04389855390963409,female,58
0.032923546728221884,female,59
0.022243573890084745,female,60
0.012073882972161453,female,61
0.0024101056183416826,female,62
0.0018827476173679937,female,63
0.0013877378098969095,female,64
9.005886251222373e-4,female,65
4.287158851476374e-4,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.001190507859052631,male,15
0.002381073021169344,male,16
0.003571711876819165,male,17
0.00476242727825119,male,18
0.006020179055204516,male,19
0.024394093734601968,male,20
0.042886686572146546,male,21
0.061426356971720684,male,22
0.08010630674007602,male,23
0.09981800520489094,male,24
0.18077680123824283,male,25
0.26403398864114674,male,26
0.34831076115011883,male,27
0.43377096084331784,male,28
0.5212153167069012,male,29
0.6550243051152195,male,30
0.7897649671310438,male,31
0.9247821846849013,male,32
1.0563174004491303,male,33
1.1871301796993226,male,34
1.2925548099812834,male,35
1.3999048271378638,male,36
1.5084602677531078,male,37
1.5963866405319673,male,38
1.6829498914454504,male,39
1.7079734314010226,male,40
1.7208479787498687,male,41
1.72645850204084,male,42
1.6542201682874509,male,43
1.580414380400553,male,44
1.4807755400217093,male,45
1.3873738370466715,male,46
1.2982921966093846,male,47
1.180056248473586,male,48
1.0618967565593145,male,49
0.934056053423966,male,50
0.8059287705461285,male,51
0.6770796289952026,male,52
0.5950081620254033,male,53
0.5132903036920032,male,54
0.42905365935452533,male,55
0.3453979739456613,male,56
0.2624962538386092,male,57
0.22839195300345058,male,58
0.19446179906419964,male,59
0.16003105441695561,male,60
0.1258431167302825,male,61
0.09179728644099028,male,62
0.08008593083230922,male,63
0.06833200208513991,male,64
0.056075535331766235,male,65
0.04387802312327196,male,66
0.03190130878401141,male,67
0.027775844065293133,male,68
0.023653649148013243,male,69
0.01963592903139416,male,70
0.015656695569333468,male,71
0.011749885964111298,male,72
0.010227184120566557,male,73
0.008704482277021816,male,74
0.007150223445184365,male,75
0.005600576004500552,male,76
0.003978830084198556,male,77
0.0032814750122503017,male,78
0.0025841199403020478,male,79
0.0018867648683537938,male,80
0.0011894097964055398,male,81
4.920547244572857e-4,male,82
4.920547244572857e-4,male,83
4.920547244572857e-4,male,84
4.920547244572857e-4,male,85
4.920547244572857e-4,male,86
4.920547244572857e-4,male,87
4.920547244572857e-4,male,88
4.920547244572857e-4,male,89
4.920547244572857e-4,male,90
4.920547244572857e-4,male,91
4.920547244572857e-4,male,92
4.920547244572857e-4,male,93
4.920547244572857e-4,male,94
4.920547244572857e-4,male,95
4.920547244572857e-4,male,96
4.920547244572857e-4,male,97
4.920547244572857e-4,male,98
4.920547244572857e-4,male,99
4.920547244572857e-4,male,100
