children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.006119186581904466,female,15
0.012238667700412086,female,16
0.018303674464564424,female,17
0.02446658862781776,female,18
0.030989084726877603,female,19
0.07511197125085915,female,20
0.1199700721981571,female,21
0.16555509308467808,female,22
0.21265740540607594,female,23
0.2615708562742704,female,24
0.3811956239250547,female,25
0.5032062528379398,female,26
0.6274016390407005,female,27
0.7530053098922883,female,28
0.8807109212530293,female,29
1.02025304885332,female,30
1.162308044852579,female,31
1.3028371700969223,female,32
1.4298018274350215,female,33
1.5556120995805587,female,34
1.6228977154221056,female,35
1.687710575542863,female,36
1.7520285237260276,female,37
1.7666298403417837,female,38
1.7790772931168992,female,39
1.7344543388272837,female,40
1.6802806216447705,female,41
1.6215445193735094,female,42
1.4899601463026029,female,43
1.3555508570537338,female,44
1.2108441680681574,female,45
1.0690320173956713,female,46
0.9282859417461962,female,47
0.8074391328475358,female,48
0.6867379283220411,female,49
0.563135879430155,female,50
0.439601206532963,female,51
0.3170035355177977,female,52
0.2607808091705075,female,53
0.2059620366851066,female,54
0.15336626667658837,female,55
0.10367230398797014,female,56
0.055152158881897444,female,57
0.04389855390963409,female,58
0.032923546728221884,female,59
0.022243573890084745,female,60
0.012073882972161453,female,61
0.0024101056183416826,female,62
0.0018827476173679937,female,63
0.0013877378098969095,female,64
9.005886251222373e-4,female,65
4.287158851476374e-4,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
