children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.004185970707639564,female,15
0.008371941415279128,female,16
0.012557912122918692,female,17
0.016743882830558256,female,18
0.020929853538197818,female,19
0.10000752937451485,female,20
0.17908520521083188,female,21
0.2581628810471489,female,22
0.33724055688346594,female,23
0.41631823271978297,female,24
0.5906813687729974,female,25
0.7650445048262118,female,26
0.9394076408794262,female,27
1.1137707769326406,female,28
1.2858981502285536,female,29
1.4313040531421144,female,30
1.5767099560556754,female,31
1.7221158589692362,female,32
1.8625961329934377,female,33
2.000043226182875,female,34
2.058764248222577,female,35
2.117485270262279,female,36
2.1762062923019814,female,37
2.1606058287910774,female,38
2.16212759818105,female,39
2.1256013379633023,female,40
2.089075077745555,female,41
2.0525488175278075,female,42
1.9172049364947585,female,43
1.785338550779039,female,44
1.6395442673141531,female,45
1.4937499838492672,female,46
1.3479557003843814,female,47
1.222651801805678,female,48
1.0977103875935246,female,49
0.9621425306577116,female,50
0.8265746737218987,female,51
0.6910068167860859,female,52
0.6183927380021748,female,53
0.5357458474330287,female,54
0.45274482788337195,female,55
0.36974380833371523,female,56
0.2867427887840585,female,57
0.2555613771579371,female,58
0.2211059016154004,female,59
0.18069133061279222,female,60
0.14027675961018404,female,61
0.0998621886075759,female,62
0.08179886551889212,female,63
0.06134914913916909,female,64
0.04089943275944606,female,65
0.02044971637972303,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
