children,gender,age
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.011744113839230167,male,15
0.023488227678460333,male,16
0.0352323415176905,male,17
0.04697645535692067,male,18
0.05872056919615083,male,19
0.20247422486462233,male,20
0.3462278805330938,male,21
0.48998153620156526,male,22
0.6337351918700368,male,23
0.7802219743354151,male,24
1.0279560005649955,male,25
1.275690026794576,male,26
1.5206909262272497,male,27
1.771158079253737,male,28
2.0256405794933845,male,29
2.277048930440602,male,30
2.52845728138782,male,31
2.7798656323350377,male,32
3.023126086053511,male,33
3.2814270679907382,male,34
3.5243726546502208,male,35
3.7673182413097037,male,36
4.010263827969187,male,37
4.102422035673285,male,38
4.177705943119135,male,39
4.23362058245097,male,40
4.289535221782804,male,41
4.345449861114639,male,42
4.255548204866764,male,43
4.17740444702281,male,44
4.065673033542675,male,45
3.953941620062539,male,46
3.8422102065824038,male,47
3.7226827282768618,male,48
3.651802936894368,male,49
3.5126668368356477,male,50
3.373530736776927,male,51
3.234394636718207,male,52
3.1239463736728843,male,53
2.9674929977929594,male,54
2.7300689183970857,male,55
2.492644839001212,male,56
2.255220759605338,male,57
2.073160315376177,male,58
1.917091728591582,male,59
1.765797042806185,male,60
1.6145023570207884,male,61
1.4632076712353916,male,62
1.3859042484662747,male,63
1.2653048801286348,male,64
1.1026191855657803,male,65
0.9399334910029258,male,66
0.7772477964400714,male,67
0.6853850806372543,male,68
0.5993211239557129,male,69
0.5402173490453844,male,70
0.48111357413505595,male,71
0.4220097992247275,male,72
0.39685647594160484,male,73
0.3583487312004583,male,74
0.3105787604886724,male,75
0.2628087897768865,male,76
0.21503881906510056,male,77
0.19036831706992668,male,78
0.17376464545959844,male,79
0.15989071725392437,male,80
0.14601678904825033,male,81
0.13214286084257626,male,82
0.12700107627627114,male,83
0.11742667838939845,male,84
0.09299617205569663,male,85
0.06856566572199482,male,86
0.044135159388292995,male,87
0.034736416423636604,male,88
0.024514905595559192,male,89
0.02009521954131061,male,90
0.015675533487062025,male,91
0.011255847432813442,male,92
0.008073723482053078,male,93
0.004891599531292715,male,94
0.003261066354195143,male,95
0.0016305331770975714,male,96
0,male,97
0,male,98
0,male,99
0,male,100
