age,gender,deaths_2018,pop,nb_c,orphans
00-04,Female,11124,1286435,0,0
00-04,Male,12824,1265971,0,0
05-09,Female,2308,1333916,0,0
05-09,Male,2594,1298962,0,0
10-14,Female,1504,1286091,0,0
10-14,Male,1745,1247212,0,0
15-19,Female,1666,1031165,0.012557912122918692,21
15-19,Male,1930,1004780,0.0352323415176905,68
20-24,Female,2006,873999,0.2581628810471489,518
20-24,Male,2608,777577,0.49052816156094664,1279
25-29,Female,2143,646545,0.9389604883279659,2012
25-29,Male,3124,582866,1.5242271224667885,4762
30-34,Female,2422,590721,1.7185538454686677,4162
30-34,Male,3588,516505,2.777984999641542,9967
35-39,Female,2703,500810,2.135037847551793,5771
35-39,Male,4087,468188,3.916416540544306,16006
40-44,Female,2192,362429,1.9939537441020925,4371
40-44,Male,3657,367171,4.260311663447597,15580
45-49,Female,2017,262119,1.3603224281894009,2744
45-49,Male,3537,273749,3.8472621050717692,13608
50-54,Female,1989,199412,0.7267725213201799,1446
50-54,Male,3043,188400,3.2424063163593253,9867
55-59,Female,1735,162875,0.31717974075489663,550
55-59,Male,2586,144046,2.293637312194279,5931
60-64,Female,1783,127098,0.11279565869772268,201
60-64,Male,2611,107820,1.4989432399314548,3914
65-69,Female,1909,132640,0.012269829827833818,23
65-69,Male,2568,107911,0.8209013355203489,2108
70-74,Female,2079,80983,0,0
70-74,Male,2756,63805,0.4397091859094462,1212
75-79,Female,2337,73120,0,0
75-79,Male,2717,51598,0.2305118663720369,626
80-84,Female,2344,39545,0,0
80-84,Male,2121,24130,0.13649562436208412,290
85-89,Female,2029,34003,0,0
85-89,Male,1796,20751,0.05298966383703605,95
90-94,Female,1062,9885,0,0
90-94,Male,876,5245,0.011998384694906373,11
95+,Female,1543,8498,0,0
95+,Male,1113,4773,9.783199062585429e-4,1
