age,gender,deaths_2018,pop,nb_c,orphans
00-04,Female,2636,1347,0,0
00-04,Male,3171,1410,0,0
05-09,Female,279,1379,0,0
05-09,Male,361,1390,0,0
10-14,Female,325,1366,0,0
10-14,Male,417,1359,0,0
15-19,Female,501,1316,0.20102732658571199,101
15-19,Male,856,1262,0.03485667314583013,30
20-24,Female,566,1388,0.7367843847190119,417
20-24,Male,1370,1322,0.316745163798683,434
25-29,Female,673,1341,1.3870085167163562,933
25-29,Male,1558,1371,0.8740743527448389,1362
30-34,Female,786,1246,1.9413789896956084,1526
30-34,Male,1572,1294,1.5358595658686685,2414
35-39,Female,950,1159,2.108315783370109,2003
35-39,Male,1726,1198,2.0338569410801437,3510
40-44,Female,1226,1064,1.7424429580526073,2136
40-44,Male,1954,1071,2.078904633601933,4062
45-49,Female,1635,961,1.1477284117655322,1877
45-49,Male,2211,946,1.688007458702542,3732
50-54,Female,2009,847,0.6093261873453321,1224
50-54,Male,2710,813,1.1580351738071795,3138
55-59,Female,2494,714,0.21985788957990077,548
55-59,Male,3317,683,0.681099648527598,2259
60-64,Female,3138,592,0.04374793780980226,137
60-64,Male,3949,561,0.3326631947449159,1314
65-69,Female,3857,473,0.0033526244663690686,13
65-69,Male,4703,440,0.1519312244155034,715
70-74,Female,4732,344,0,0
70-74,Male,5784,310,0.07285216436878124,421
75-79,Female,5693,257,0,0
75-79,Male,6249,224,0.03708814827055648,232
80-84,Female,6793,171,0,0
80-84,Male,7263,143,0.018413505706481634,134
85-89,Female,7095,93,0,0
85-89,Male,6601,65,0.007408810204097586,49
90-94,Female,5166,33,0,0
90-94,Male,4147,20,0.0026088711218065566,11
