age,gender,deaths_2016,pop,nb_c,orphans
00-04,Female,12565,2871,0,0
00-04,Male,14649,2944,0,0
05-09,Female,1287,2777,0,0
05-09,Male,1672,2841,0,0
10-14,Female,1298,2473,0,0
10-14,Male,1781,2514,0,0
15-19,Female,2781,2402,0.16948641930500646,471
15-19,Male,4019,2438,0.014620893056839005,59
20-24,Female,5375,2530,0.664739498084228,3573
20-24,Male,8272,2574,0.1350294427988627,1117
25-29,Female,9238,2671,1.3437875219353543,12414
25-29,Male,12851,2725,0.5719443375771383,7350
30-34,Female,11769,2481,1.838251161314557,21634
30-34,Male,16597,2530,1.406009848710107,23336
35-39,Female,11558,2035,1.9385658879893397,22406
35-39,Male,16535,2045,2.1026462988670325,34767
40-44,Female,11898,1746,1.5522615232463,18469
40-44,Male,17270,1708,2.3174624777092534,40023
45-49,Female,11656,1498,1.0560395512162715,12309
45-49,Male,16890,1428,2.091355334184846,35323
50-54,Female,13093,1276,0.5751743489974511,7531
50-54,Male,18470,1171,1.4551095648913535,26876
55-59,Female,14055,1085,0.2092731905562651,2941
55-59,Male,19796,942,1.0143992700701625,20081
60-64,Female,15633,896,0.040508313527694614,633
60-64,Male,20689,730,0.591925087581995,12246
65-69,Female,16168,654,0.0029370921300650426,47
65-69,Male,19486,495,0.3002030672260931,5850
70-74,Female,15632,486,0,0
70-74,Male,15753,333,0.1482682491409607,2336
75-79,Female,17829,329,0,0
75-79,Male,14361,195,0.09047939081005642,1299
80-84,Female,16031,181,0,0
80-84,Male,9280,91,0.028363834018612186,263
85-89,Female,14525,68,0,0
85-89,Male,6736,28,0.018091053875186808,122
90-94,Female,7527,14,0,0
90-94,Male,2975,4,0.031387273634124566,93
