children,gender,age
0,female,1
0,female,2
0,female,3
0,female,4
0,female,5
0,female,6
0,female,7
0,female,8
0,female,9
0,female,10
0,female,11
0,female,12
0,female,13
0,female,14
0.0074024404215944474,female,15
0.01480496809592606,female,16
0.02213939104464255,female,17
0.02945359630061103,female,18
0.036837069483408036,female,19
0.06215765007603139,female,20
0.08777766181213564,female,21
0.11358944153064732,female,22
0.1398507566188466,female,23
0.16664714297236058,female,24
0.22302280367453337,female,25
0.2806681848107132,female,26
0.339558774079431,female,27
0.4004192391766216,female,28
0.46261084891893056,female,29
0.5619484143449721,female,30
0.6610520617367621,female,31
0.7602226948452437,female,32
0.8469608677096084,female,33
0.9298574290318966,female,34
0.9859414031708983,female,35
1.041202947621013,female,36
1.0945021610713894,female,37
1.1296360947691049,female,38
1.1685378524704377,female,39
1.1596484004365477,female,40
1.1497200734919961,female,41
1.1432257694108192,female,42
1.1033677587334363,female,43
1.061857962608777,female,44
1.0045114104631292,female,45
0.9450407451739556,female,46
0.8814285042693791,female,47
0.7794785609580307,female,48
0.6733314786065868,female,49
0.562139853070436,female,50
0.4504416000551782,female,51
0.33800894773289225,female,52
0.27526383018111,female,53
0.21565522157829622,female,54
0.15891301619991707,female,55
0.1047916880602523,female,56
0.052068048869371,female,57
0.041040825445646766,female,58
0.030830426080550883,female,59
0.021042887461758298,female,60
0.011680110449579279,female,61
0.0028566260072632648,female,62
0.0021288289680626905,female,63
0.0014349271098344479,female,64
8.72079541261035e-4,female,65
4.203175535675568e-4,female,66
0,female,67
0,female,68
0,female,69
0,female,70
0,female,71
0,female,72
0,female,73
0,female,74
0,female,75
0,female,76
0,female,77
0,female,78
0,female,79
0,female,80
0,female,81
0,female,82
0,female,83
0,female,84
0,female,85
0,female,86
0,female,87
0,female,88
0,female,89
0,female,90
0,female,91
0,female,92
0,female,93
0,female,94
0,female,95
0,female,96
0,female,97
0,female,98
0,female,99
0,female,100
0,male,1
0,male,2
0,male,3
0,male,4
0,male,5
0,male,6
0,male,7
0,male,8
0,male,9
0,male,10
0,male,11
0,male,12
0,male,13
0,male,14
0.0017703364160816804,male,15
0.0035406936991598118,male,16
0.005311099886708649,male,17
0.007202887969933322,male,18
0.009094987450391789,male,19
0.019929048380407478,male,20
0.030763189868613,male,21
0.0417904760568627,male,22
0.05331534349539442,male,23
0.06519651469644921,male,24
0.10147739862656846,male,25
0.13775842039466735,male,26
0.1740655295956617,male,27
0.21385838521151393,male,28
0.25329292871773196,male,29
0.328888540847618,male,30
0.40448443731883743,male,31
0.48149318244254957,male,32
0.5569023944195387,male,33
0.6326478734824825,male,34
0.7048955989452278,male,35
0.7771434009327923,male,36
0.8516334326840005,male,37
0.9110875831134853,male,38
0.9708502170455381,male,39
0.9928719003632949,male,40
1.0148941994945817,male,41
1.039415539635814,male,42
1.0383047746498655,male,43
1.0347628677069571,male,44
1.007917465682693,male,45
0.9810742649581699,male,46
0.9462652104939815,male,47
0.8698447890758807,male,48
0.7911444847352137,male,49
0.7065209190080007,male,50
0.6218969914774908,male,51
0.5358117973395845,male,52
0.460100221880104,male,53
0.3901314660351064,male,54
0.31987988613417373,male,55
0.24962644218273702,male,56
0.18103015660391442,male,57
0.15806078663012144,male,58
0.13245543588420494,male,59
0.10668048834362229,male,60
0.08090471368844075,male,61
0.055212977499166156,male,62
0.0479658698187809,male,63
0.04059765355952311,male,64
0.032895415000953006,male,65
0.02519281216819333,male,66
0.017650465348238158,male,67
0.015271846554970095,male,68
0.012902777025948194,male,69
0.010542144301460154,male,70
0.008181511576972111,male,71
0.005806706839068077,male,72
0.005001249408451658,male,73
0.004152428206189603,male,74
0.003309879521630027,male,75
0.00246733083707045,male,76
0.001678982615154096,male,77
0.0014571560889637034,male,78
0.0012353295627733109,male,79
0.0010135030365829184,male,80
7.916765103925259e-4,male,81
5.698499842021334e-4,male,82
5.698499842021334e-4,male,83
5.698499842021334e-4,male,84
5.698499842021334e-4,male,85
5.698499842021334e-4,male,86
5.698499842021334e-4,male,87
5.698499842021334e-4,male,88
5.698499842021334e-4,male,89
5.698499842021334e-4,male,90
5.698499842021334e-4,male,91
5.698499842021334e-4,male,92
5.698499842021334e-4,male,93
5.698499842021334e-4,male,94
5.698499842021334e-4,male,95
5.698499842021334e-4,male,96
5.698499842021334e-4,male,97
5.698499842021334e-4,male,98
5.698499842021334e-4,male,99
5.698499842021334e-4,male,100
