age,gender,death,pop,nb_c,orphans
0-4,Female,11515,9538,0,0
0-4,Male,14700,9974,0,0
10-14,Female,1247,10320,0,0
10-14,Male,1970,10782,0,0
15-19,Female,3037,10420,0.05503960942254039,167
15-19,Male,7849,10844,0.021519824303106005,169
20-24,Female,5485,11110,0.3153192413612502,1730
20-24,Male,15654,11555,0.16575299510177066,2595
25-29,Female,7891,11531,0.8278419356996647,6533
25-29,Male,20385,11999,0.5424653268632582,11058
30-34,Female,10175,11041,1.4340698062926998,14592
30-34,Male,21764,11321,1.0647338194646823,23173
35-39,Female,12796,10455,1.6800270829333448,21498
35-39,Male,24105,10498,1.4122692960184808,34043
40-44,Female,16208,10080,1.355516221100828,21970
40-44,Male,26687,9994,1.315383465354112,35104
45-49,Female,25475,10136,0.7938040808577445,20222
45-49,Male,40223,10117,0.9099281723517441,36600
5-9,Female,1055,10061,0,0
5-9,Male,1299,10523,0,0
50-54,Female,40863,10567,0.3160946847155662,12917
50-54,Male,63581,10641,0.46571895261817803,29611
55-59,Female,63711,11002,0.0713916444493458,4548
55-59,Male,98387,10770,0.1756603088195423,17283
60-64,Female,82960,10369,0.007869699168315083,653
60-64,Male,126948,9742,0.05668437425127206,7196
65-69,Female,102829,8963,3.1040175283726895e-4,32
65-69,Male,145258,8074,0.018110420190371096,2631
70-74,Female,124850,7061,0,0
70-74,Male,158673,6032,0.006601330312035736,1047
75-79,Female,143993,4910,0,0
75-79,Male,163505,3964,0.005656139495183514,925
80-84,Female,177095,3444,0,0
80-84,Male,173166,2620,0.005656139495183514,979
85+,Female,543169,4239,0,0
85+,Male,334866,2398,0.005219324129163508,1748
