age,gender,deaths,pop,orphans,country
0-14,Female,1616,5667000,0,France
0-14,Male,2072,5927000,0,France
15-49,Female,8144,13927000,9307,France
15-49,Male,16550,13775000,19215,France
50-69,Female,37974,8470000,2552,France
50-69,Male,72900,7889000,14133,France
70+,Female,252164,5541000,0,France
70+,Male,205002,3933000,636,France
0-14,Female,4622,5564000,0,Colombia
0-14,Male,5989,5822000,0,Colombia
15-49,Female,11525,13634000,13075,Colombia
15-49,Male,27972,13444000,32834,Colombia
50-69,Female,24284,4848000,2204,Colombia
50-69,Male,33806,4232000,14280,Colombia
70+,Female,62498,1557000,0,Colombia
70+,Male,62483,1203000,2143,Colombia
0-14,Female,1553,5836000,0,England & Wales
0-14,Male,1939,6113000,0,England & Wales
15-49,Female,8541,15010000,9189,England & Wales
15-49,Male,14476,15135000,15626,England & Wales
50-69,Female,36241,8321000,2482,England & Wales
50-69,Male,53359,8025000,9192,England & Wales
70+,Female,219200,5014000,0,England & Wales
70+,Male,195522,4080000,892,England & Wales
0-14,Female,1596,5484000,0,Germany
0-14,Male,2017,5839000,0,Germany
15-49,Female,9488,17023000,8030,Germany
15-49,Male,17791,17887000,13429,Germany
50-69,Female,62596,11934000,2875,Germany
50-69,Male,111754,11646000,13255,Germany
70+,Female,367900,7501000,0,Germany
70+,Male,327564,5596000,613,Germany
0-14,Female,834,3920000,0,Italy
0-14,Male,1098,4161000,0,Italy
15-49,Female,6061,12698000,5282,Italy
15-49,Male,10563,12965000,7740,Italy
50-69,Female,32122,8586000,2252,Italy
50-69,Male,53127,8068000,8253,Italy
70+,Female,253107,5792000,0,Italy
70+,Male,225397,4240000,230,Italy
0-14,Female,14936,3906442,0,Malawi
0-14,Male,17163,3812145,0,Malawi
15-49,Female,15149,4267788,19599,Malawi
15-49,Male,22531,3990836,61270,Malawi
50-69,Female,7416,622025,2220,Malawi
50-69,Male,10808,548177,21820,Malawi
70+,Female,11394,246034,0,Malawi
70+,Male,11379,170302,2235,Malawi
0-14,Female,14721,16390000,0,Mexico
0-14,Male,18387,17123000,0,Mexico
15-49,Female,36703,34357000,42186,Mexico
15-49,Male,94332,32800000,103026,Mexico
50-69,Female,84131,10463000,7713,Mexico
50-69,Male,115996,9211000,29312,Mexico
70+,Female,161461,3200000,0,Mexico
70+,Male,156601,2550000,2577,Mexico
0-14,Female,3240,4092000,0,Peru
0-14,Male,3949,4159000,0,Peru
15-49,Female,6337,8475000,8993,Peru
15-49,Male,11247,8464000,15544,Peru
50-69,Female,11498,2626000,1922,Peru
50-69,Male,14679,2497000,7426,Peru
70+,Female,29479,898000,0,Peru
70+,Male,30044,762000,847,Peru
0-14,Female,964,2781000,0,Poland
0-14,Male,1216,2927000,0,Poland
15-49,Female,6074,8807000,4635,Poland
15-49,Male,19188,9206000,15152,Poland
50-69,Female,39229,5221000,890,Poland
50-69,Male,80970,4670000,6133,Poland
70+,Female,143908,2687000,0,Poland
70+,Male,109464,1565000,856,Poland
0-14,Female,15150,8121000,0,South Africa
0-14,Male,18102,8299000,0,South Africa
15-49,Female,64275,15363000,91276,South Africa
15-49,Male,92434,15448000,141975,South Africa
50-69,Female,58949,3911000,11152,South Africa
50-69,Male,78441,3338000,65053,South Africa
70+,Female,71544,1078000,0,South Africa
70+,Male,49105,651000,4113,South Africa
0-14,Female,701,3318000,0,Spain
0-14,Male,882,3530000,0,Spain
15-49,Female,4821,10460000,4223,Spain
15-49,Male,9054,10756000,7143,Spain
50-69,Female,21601,6086000,1632,Spain
50-69,Male,45680,5837000,6791,Spain
70+,Female,158199,3805000,0,Spain
70+,Male,150300,2772000,263,Spain
0-14,Female,13817,29919000,0,USA
0-14,Male,17969,31279000,0,USA
15-49,Female,81067,74773000,86712,USA
15-49,Male,156667,76328000,142742,USA
50-69,Female,290363,40901000,18150,USA
50-69,Male,434174,39227000,56721,USA
70+,Female,989107,19654000,0,USA
70+,Male,830210,15014000,4699,USA
