age,gender,deaths,pop,orphan_deaths_ratio,country,mortality
0-14,Female,1616,65129000,0,France,0.00248123
0-14,Male,2072,65129000,0,France,0.003181378
15-49,Female,8144,65129000,9307,France,0.012504414
15-49,Male,16550,65129000,19215,France,0.025411107
50-69,Female,37974,65129000,2552,France,0.058305824
50-69,Male,72900,65129000,14133,France,0.111931705
70+,Female,252164,65129000,0,France,0.38717622
70+,Male,205002,65129000,636,France,0.314763009
0-14,Female,4622,50304000,0,Colombia,0.009188136
0-14,Male,5989,50304000,0,Colombia,0.011905614
15-49,Female,11525,50304000,13075,Colombia,0.022910703
15-49,Male,27972,50304000,32834,Colombia,0.055605916
50-69,Female,24284,50304000,2204,Colombia,0.048274491
50-69,Male,33806,50304000,14280,Colombia,0.067203403
70+,Female,62498,50304000,0,Colombia,0.124240617
70+,Male,62483,50304000,2143,Colombia,0.124210798
0-14,Female,318,67534000,0,England & Wales,0.000470874
0-14,Male,407,67534000,0,England & Wales,0.000602659
15-49,Female,1724,67534000,1851,England & Wales,0.002552788
15-49,Male,2945,67534000,3189,England & Wales,0.004360766
50-69,Female,7414,67534000,495,England & Wales,0.010978174
50-69,Male,10809,67534000,1806,England & Wales,0.016005271
70+,Female,33993,67534000,0,England & Wales,0.050334646
70+,Male,33056,67534000,174,England & Wales,0.048947197
0-14,Female,1596,82910000,0,Germany,0.001924979
0-14,Male,2017,82910000,0,Germany,0.002432758
15-49,Female,9488,82910000,8030,Germany,0.011443734
15-49,Male,17791,82910000,13429,Germany,0.021458208
50-69,Female,62596,82910000,2875,Germany,0.075498734
50-69,Male,111754,82910000,13255,Germany,0.134789531
70+,Female,367900,82910000,0,Germany,0.44373417
70+,Male,327564,82910000,613,Germany,0.395083826
0-14,Female,834,60430000,0,Italy,0.001380109
0-14,Male,1098,60430000,0,Italy,0.001816978
15-49,Female,6061,60430000,5282,Italy,0.010029787
15-49,Male,10563,60430000,7740,Italy,0.017479729
50-69,Female,32122,60430000,2252,Italy,0.053155717
50-69,Male,53127,60430000,8253,Italy,0.087914943
70+,Female,253107,60430000,0,Italy,0.41884329
70+,Male,225397,60430000,230,Italy,0.372988582
0-14,Female,14936,17563749,0,Malawi,0.085038792
0-14,Male,17163,17563749,0,Malawi,0.097718317
15-49,Female,15149,17563749,19599,Malawi,0.086251517
15-49,Male,22531,17563749,61270,Malawi,0.128281268
50-69,Female,7416,17563749,2220,Malawi,0.042223332
50-69,Male,10808,17563749,21820,Malawi,0.061535837
70+,Female,11394,17563749,0,Malawi,0.064872255
70+,Male,11379,17563749,2235,Malawi,0.064786852
0-14,Female,14721,126094000,0,Mexico,0.011674624
0-14,Male,18387,126094000,0,Mexico,0.014581979
15-49,Female,36703,126094000,42186,Mexico,0.02910765
15-49,Male,94332,126094000,103026,Mexico,0.074810855
50-69,Female,84131,126094000,7713,Mexico,0.066720859
50-69,Male,115996,126094000,29312,Mexico,0.091991689
70+,Female,161461,126094000,0,Mexico,0.128048123
70+,Male,156601,126094000,2577,Mexico,0.124193855
0-14,Female,3240,31973000,0,Peru,0.01013355
0-14,Male,3949,31973000,0,Peru,0.012351046
15-49,Female,6337,31973000,8993,Peru,0.019819848
15-49,Male,11247,31973000,15544,Peru,0.035176555
50-69,Female,11498,31973000,1922,Peru,0.035961593
50-69,Male,14679,31973000,7426,Peru,0.045910612
70+,Female,29479,31973000,0,Peru,0.092199668
70+,Male,30044,31973000,847,Peru,0.093966784
0-14,Female,964,37864000,0,Poland,0.002545954
0-14,Male,1216,37864000,0,Poland,0.003211494
15-49,Female,6074,37864000,4635,Poland,0.016041623
15-49,Male,19188,37864000,15152,Poland,0.050676104
50-69,Female,39229,37864000,890,Poland,0.103605007
50-69,Male,80970,37864000,6133,Poland,0.213844285
70+,Female,143908,37864000,0,Poland,0.380065498
70+,Male,109464,37864000,856,Poland,0.289097824
0-14,Female,15150,56209000,0,South Africa,0.026952979
0-14,Male,18102,56209000,0,South Africa,0.032204807
15-49,Female,64275,56209000,91276,South Africa,0.114350015
15-49,Male,92434,56209000,141975,South Africa,0.164446975
50-69,Female,58949,56209000,11152,South Africa,0.104874664
50-69,Male,78441,56209000,65053,South Africa,0.139552385
70+,Female,71544,56209000,0,South Africa,0.127282108
70+,Male,49105,56209000,4113,South Africa,0.087361455
0-14,Female,701,46564000,0,Spain,0.001505455
0-14,Male,882,46564000,0,Spain,0.001894167
15-49,Female,4821,46564000,4223,Spain,0.010353492
15-49,Male,9054,46564000,7143,Spain,0.019444206
50-69,Female,21601,46564000,1632,Spain,0.046389915
50-69,Male,45680,46564000,6791,Spain,0.098101538
70+,Female,158199,46564000,0,Spain,0.339745297
70+,Male,150300,46564000,263,Spain,0.322781548
0-14,Female,69250,320458000,0,USA,0.021609696
0-14,Male,89040,320458000,0,USA,0.027785232
15-49,Female,386827,320458000,411803,USA,0.12071067
15-49,Male,764265,320458000,699215,USA,0.238491472
50-69,Female,1494429,320458000,117509,USA,0.466341611
50-69,Male,2163955,320458000,282315,USA,0.675269458
70+,Female,2141705,320458000,0,USA,0.668326271
70+,Male,2466980,320458000,14694,USA,0.769829432
