age,date,gender,fertility_rate
20-24,2002,Male,30.464447045661
20-24,2003,Male,29.5988758575268
20-24,2004,Male,29.6197489993367
20-24,2005,Male,29.962965326229998
20-24,2006,Male,30.0772080333987
20-24,2007,Male,29.8288846708764
20-24,2008,Male,29.5124257319399
20-24,2009,Male,29.3808861133193
20-24,2010,Male,29.3768431554103
20-24,2011,Male,29.3184263091309
20-24,2012,Male,29.1342013040978
20-24,2013,Male,28.8442243133951
20-24,2014,Male,28.4614695604023
20-24,2015,Male,27.978856953055303
20-24,2016,Male,27.3722913232846
20-24,2017,Male,26.634542858223202
20-24,2018,Male,25.9395358190705
20-24,2019,Male,25.6145188144436
25-29,2002,Male,153.29587103143498
25-29,2003,Male,147.81198812159198
25-29,2004,Male,143.83678093878999
25-29,2005,Male,140.16556878263302
25-29,2006,Male,135.47799638622502
25-29,2007,Male,129.195397554729
25-29,2008,Male,122.056081008433
25-29,2009,Male,115.48907934326199
25-29,2010,Male,110.494721506463
25-29,2011,Male,107.27303844800599
25-29,2012,Male,105.467805993225
25-29,2013,Male,104.55232018647601
25-29,2014,Male,104.054344187684
25-29,2015,Male,103.568976782591
25-29,2016,Male,102.802727190594
25-29,2017,Male,101.534704109998
25-29,2018,Male,99.7558013541287
25-29,2019,Male,98.7435840145402
30-34,2002,Male,106.150831664611
30-34,2003,Male,100.380476007881
30-34,2004,Male,97.6347513945707
30-34,2005,Male,96.85898772643401
30-34,2006,Male,96.8808088715597
30-34,2007,Male,97.2322346654238
30-34,2008,Male,98.3156985091502
30-34,2009,Male,100.47096974889699
30-34,2010,Male,103.44364647589201
30-34,2011,Male,106.784971766507
30-34,2012,Male,110.135671938996
30-34,2013,Male,113.22870225244
30-34,2014,Male,115.78014258194099
30-34,2015,Male,117.51926663466101
30-34,2016,Male,118.349372305291
30-34,2017,Male,118.304133771863
30-34,2018,Male,117.994034844095
30-34,2019,Male,117.934833559175
35-39,2002,Male,72.2333125767197
35-39,2003,Male,70.0179738084497
35-39,2004,Male,69.1162836296058
35-39,2005,Male,69.14573871318599
35-39,2006,Male,69.771884381001
35-39,2007,Male,70.9802271516099
35-39,2008,Male,72.98751894582401
35-39,2009,Male,75.7321206960269
35-39,2010,Male,78.68255523743389
35-39,2011,Male,81.251378573777
35-39,2012,Male,83.0714254834195
35-39,2013,Male,83.903990407591
35-39,2014,Male,83.61000935983711
35-39,2015,Male,82.2032397950849
35-39,2016,Male,79.9400691589572
35-39,2017,Male,77.1156356748898
