country,age,date,afr,gender,fertility_rate
Italy,15-19,2002,0.00652097356472725,Female,6.52097356472725
Italy,15-19,2003,0.00685458894060278,Female,6.854588940602779
Italy,15-19,2004,0.00692851767235623,Female,6.9285176723562305
Italy,15-19,2005,0.0067421104900818,Female,6.742110490081799
Italy,15-19,2006,0.00669989269034173,Female,6.69989269034173
Italy,15-19,2007,0.00685449197156521,Female,6.85449197156521
Italy,15-19,2008,0.00690599556262707,Female,6.90599556262707
Italy,15-19,2009,0.00664778933827353,Female,6.6477893382735305
Italy,15-19,2010,0.006413041558555,Female,6.413041558555
Italy,15-19,2011,0.00627120225223761,Female,6.27120225223761
Italy,15-19,2012,0.00601798673781156,Female,6.01798673781156
Italy,15-19,2013,0.00573112833645429,Female,5.73112833645429
Italy,15-19,2014,0.00539561443264154,Female,5.39561443264154
Italy,15-19,2015,0.00490944292154189,Female,4.909442921541889
Italy,15-19,2016,0.00449538578887217,Female,4.49538578887217
Italy,15-19,2017,0.004260600292297,Female,4.260600292297
Italy,15-19,2018,0.00420452139395244,Female,4.20452139395244
Italy,15-19,2019,0.00424833608596938,Female,4.24833608596938
Italy,20-24,2002,0.0317902752317602,Female,31.7902752317602
Italy,20-24,2003,0.0323651950949924,Female,32.3651950949924
Italy,20-24,2004,0.0334959149132141,Female,33.4959149132141
Italy,20-24,2005,0.032750064033418,Female,32.750064033418
Italy,20-24,2006,0.0337026127669177,Female,33.7026127669177
Italy,20-24,2007,0.0347342941828384,Female,34.734294182838404
Italy,20-24,2008,0.0356010464807303,Female,35.6010464807303
Italy,20-24,2009,0.034665285481202,Female,34.665285481202
Italy,20-24,2010,0.0335867835101936,Female,33.5867835101936
Italy,20-24,2011,0.0330979254002642,Female,33.097925400264195
Italy,20-24,2012,0.0318712269471596,Female,31.871226947159602
Italy,20-24,2013,0.0305674644381622,Female,30.5674644381622
Italy,20-24,2014,0.0295223141500665,Female,29.5223141500665
Italy,20-24,2015,0.0277431787132017,Female,27.7431787132017
Italy,20-24,2016,0.0266598671870299,Female,26.6598671870299
Italy,20-24,2017,0.0260490683104662,Female,26.0490683104662
Italy,20-24,2018,0.0257131190758935,Female,25.7131190758935
Italy,20-24,2019,0.0257628431351109,Female,25.7628431351109
Italy,25-29,2002,0.0717668962515531,Female,71.76689625155309
Italy,25-29,2003,0.0719580986201246,Female,71.9580986201246
Italy,25-29,2004,0.072150526903428,Female,72.150526903428
Italy,25-29,2005,0.0716842507866088,Female,71.6842507866088
Italy,25-29,2006,0.0725367771779947,Female,72.5367771779947
Italy,25-29,2007,0.0733374153043765,Female,73.3374153043765
Italy,25-29,2008,0.0736982346098333,Female,73.69823460983329
Italy,25-29,2009,0.0730355850742436,Female,73.0355850742436
Italy,25-29,2010,0.0718172148848659,Female,71.81721488486589
Italy,25-29,2011,0.0707382304263697,Female,70.7382304263697
Italy,25-29,2012,0.0699653183727338,Female,69.9653183727338
Italy,25-29,2013,0.0691875504103688,Female,69.1875504103688
Italy,25-29,2014,0.0679554349768619,Female,67.95543497686191
Italy,25-29,2015,0.0663215904378262,Female,66.3215904378262
Italy,25-29,2016,0.0650768138760758,Female,65.0768138760758
Italy,25-29,2017,0.0642493226439609,Female,64.2493226439609
Italy,25-29,2018,0.0639746496046927,Female,63.974649604692694
Italy,25-29,2019,0.0639388900866215,Female,63.9388900866215
Italy,30-34,2002,0.0862953839404249,Female,86.2953839404249
Italy,30-34,2003,0.089412152895462,Female,89.412152895462
Italy,30-34,2004,0.0898428518701544,Female,89.84285187015439
Italy,30-34,2005,0.0889048743190296,Female,88.9048743190296
