age,year,fertility_rate,date,gender
under 15-NA,2015,0,2015,F
15-19,2015,0.004185970707639564,2015,F
20-24,2015,0.07907767583631703,2015,F
25-29,2015,0.17138771511419307,2015,F
30-34,2015,0.14220328347514816,2015,F
35-39,2015,0.074091863688864,2015,F
40-44,2015,0.03082728264561085,2015,F
45-49,2015,0.012104227628612319,2015,F
50-54,2015,0.0045406282595606435,2015,F
55-59,2015,0.001715201156066571,2015,F
60-64,2015,6.78328505814885e-4,2015,F
65-69,2015,3.392387373625341e-4,2015,F
70-74,2015,3.648933246074989e-4,2015,F
75-79,2015,2.345542727151361e-4,2015,F
80+,2015,8.144767090484706e-4,2015,F
under 15-NA,2014,0,2014,F
15-19,2014,0.004185970707639564,2014,F
20-24,2014,0.07907767583631703,2014,F
25-29,2014,0.17138771511419307,2014,F
30-34,2014,0.14220328347514816,2014,F
35-39,2014,0.074091863688864,2014,F
40-44,2014,0.03082728264561085,2014,F
45-49,2014,0.012104227628612319,2014,F
50-54,2014,0.0045406282595606435,2014,F
55-59,2014,0.001715201156066571,2014,F
60-64,2014,6.78328505814885e-4,2014,F
65-69,2014,3.392387373625341e-4,2014,F
70-74,2014,3.648933246074989e-4,2014,F
75-79,2014,2.345542727151361e-4,2014,F
80+,2014,8.144767090484706e-4,2014,F
under 15-NA,2013,0,2013,F
15-19,2013,0.004185970707639564,2013,F
20-24,2013,0.07907767583631703,2013,F
25-29,2013,0.17138771511419307,2013,F
30-34,2013,0.14220328347514816,2013,F
35-39,2013,0.074091863688864,2013,F
40-44,2013,0.03082728264561085,2013,F
45-49,2013,0.012104227628612319,2013,F
50-54,2013,0.0045406282595606435,2013,F
55-59,2013,0.001715201156066571,2013,F
60-64,2013,6.78328505814885e-4,2013,F
65-69,2013,3.392387373625341e-4,2013,F
70-74,2013,3.648933246074989e-4,2013,F
75-79,2013,2.345542727151361e-4,2013,F
80+,2013,8.144767090484706e-4,2013,F
under 15-NA,2012,0,2012,F
15-19,2012,0.004185970707639564,2012,F
20-24,2012,0.07907767583631703,2012,F
25-29,2012,0.17138771511419307,2012,F
30-34,2012,0.14220328347514816,2012,F
35-39,2012,0.074091863688864,2012,F
40-44,2012,0.03082728264561085,2012,F
45-49,2012,0.012104227628612319,2012,F
50-54,2012,0.0045406282595606435,2012,F
55-59,2012,0.001715201156066571,2012,F
60-64,2012,6.78328505814885e-4,2012,F
65-69,2012,3.392387373625341e-4,2012,F
70-74,2012,3.648933246074989e-4,2012,F
75-79,2012,2.345542727151361e-4,2012,F
80+,2012,8.144767090484706e-4,2012,F
under 15-NA,2011,0,2011,F
15-19,2011,0.004185970707639564,2011,F
20-24,2011,0.07907767583631703,2011,F
25-29,2011,0.17138771511419307,2011,F
30-34,2011,0.14220328347514816,2011,F
35-39,2011,0.074091863688864,2011,F
40-44,2011,0.03082728264561085,2011,F
45-49,2011,0.012104227628612319,2011,F
50-54,2011,0.0045406282595606435,2011,F
55-59,2011,0.001715201156066571,2011,F
60-64,2011,6.78328505814885e-4,2011,F
65-69,2011,3.392387373625341e-4,2011,F
70-74,2011,3.648933246074989e-4,2011,F
75-79,2011,2.345542727151361e-4,2011,F
80+,2011,8.144767090484706e-4,2011,F
under 15-NA,2010,0,2010,F
15-19,2010,0.007161391646660894,2010,F
20-24,2010,0.08451605803203122,2010,F
25-29,2010,0.1662114459464565,2010,F
30-34,2010,0.1422435657429449,2010,F
35-39,2010,0.07892730322449312,2010,F
40-44,2010,0.037140507086192875,2010,F
45-49,2010,0.018063323088683768,2010,F
50-54,2010,0.007467633602068669,2010,F
55-59,2010,0.002648646831217672,2010,F
60-64,2010,0.001033018971537837,2010,F
65-69,2010,5.245916576582795e-4,2010,F
70-74,2010,3.3629907903129033e-4,2010,F
75-79,2010,2.4431202134983553e-4,2010,F
80+,2010,0.002261343020176503,2010,F
under 15-NA,2009,0,2009,F
15-19,2009,0.007161391646660894,2009,F
20-24,2009,0.08451605803203122,2009,F
25-29,2009,0.1662114459464565,2009,F
30-34,2009,0.1422435657429449,2009,F
35-39,2009,0.07892730322449312,2009,F
40-44,2009,0.037140507086192875,2009,F
45-49,2009,0.018063323088683768,2009,F
50-54,2009,0.007467633602068669,2009,F
55-59,2009,0.002648646831217672,2009,F
60-64,2009,0.001033018971537837,2009,F
65-69,2009,5.245916576582795e-4,2009,F
70-74,2009,3.3629907903129033e-4,2009,F
75-79,2009,2.4431202134983553e-4,2009,F
80+,2009,0.002261343020176503,2009,F
under 15-NA,2008,0,2008,F
15-19,2008,0.007161391646660894,2008,F
20-24,2008,0.08451605803203122,2008,F
25-29,2008,0.1662114459464565,2008,F
30-34,2008,0.1422435657429449,2008,F
35-39,2008,0.07892730322449312,2008,F
40-44,2008,0.037140507086192875,2008,F
45-49,2008,0.018063323088683768,2008,F
50-54,2008,0.007467633602068669,2008,F
55-59,2008,0.002648646831217672,2008,F
60-64,2008,0.001033018971537837,2008,F
65-69,2008,5.245916576582795e-4,2008,F
70-74,2008,3.3629907903129033e-4,2008,F
75-79,2008,2.4431202134983553e-4,2008,F
80+,2008,0.002261343020176503,2008,F
under 15-NA,2007,0,2007,F
15-19,2007,0.007161391646660894,2007,F
20-24,2007,0.08451605803203122,2007,F
25-29,2007,0.1662114459464565,2007,F
30-34,2007,0.1422435657429449,2007,F
35-39,2007,0.07892730322449312,2007,F
40-44,2007,0.037140507086192875,2007,F
45-49,2007,0.018063323088683768,2007,F
50-54,2007,0.007467633602068669,2007,F
55-59,2007,0.002648646831217672,2007,F
60-64,2007,0.001033018971537837,2007,F
65-69,2007,5.245916576582795e-4,2007,F
