country,age,date,afr,gender,fertility_rate
Mexico,15-19,2002,0.0721546372431533,Female,72.1546372431533
Mexico,15-19,2003,0.0708624489796873,Female,70.8624489796873
Mexico,15-19,2004,0.0697204897753563,Female,69.7204897753563
Mexico,15-19,2005,0.0688043627116609,Female,68.8043627116609
Mexico,15-19,2006,0.0680767088143889,Female,68.07670881438891
Mexico,15-19,2007,0.0675034340545239,Female,67.5034340545239
Mexico,15-19,2008,0.0670260439756967,Female,67.0260439756967
Mexico,15-19,2009,0.0666124310275081,Female,66.61243102750811
Mexico,15-19,2010,0.0661766078258792,Female,66.1766078258792
Mexico,15-19,2011,0.0655527511702888,Female,65.5527511702888
Mexico,15-19,2012,0.0645857384589471,Female,64.5857384589471
Mexico,15-19,2013,0.0632725430048777,Female,63.2725430048777
Mexico,15-19,2014,0.0617131696605516,Female,61.7131696605516
Mexico,15-19,2015,0.0600645876116191,Female,60.064587611619096
Mexico,15-19,2016,0.0584455143976128,Female,58.445514397612804
Mexico,15-19,2017,0.0569114982782344,Female,56.9114982782344
Mexico,15-19,2018,0.0557243607479196,Female,55.724360747919604
Mexico,15-19,2019,0.0552654464391559,Female,55.2654464391559
Mexico,20-24,2002,0.143365795638678,Female,143.36579563867798
Mexico,20-24,2003,0.14098955315378,Female,140.98955315378
Mexico,20-24,2004,0.138751721060467,Female,138.751721060467
Mexico,20-24,2005,0.136689437863624,Female,136.689437863624
Mexico,20-24,2006,0.134774354790977,Female,134.774354790977
Mexico,20-24,2007,0.132914348274954,Female,132.914348274954
Mexico,20-24,2008,0.131007941227645,Female,131.007941227645
Mexico,20-24,2009,0.129043539949561,Female,129.043539949561
Mexico,20-24,2010,0.127057455790983,Female,127.05745579098298
Mexico,20-24,2011,0.125064905464264,Female,125.06490546426399
Mexico,20-24,2012,0.123090781363866,Female,123.090781363866
Mexico,20-24,2013,0.121099054983993,Female,121.099054983993
Mexico,20-24,2014,0.119075751839136,Female,119.075751839136
Mexico,20-24,2015,0.116990751428762,Female,116.990751428762
Mexico,20-24,2016,0.114877844857324,Female,114.87784485732399
Mexico,20-24,2017,0.112754453073412,Female,112.75445307341201
Mexico,20-24,2018,0.110578264724032,Female,110.578264724032
Mexico,20-24,2019,0.109462411200422,Female,109.462411200422
Mexico,25-29,2002,0.133339242931655,Female,133.339242931655
Mexico,25-29,2003,0.131088952916112,Female,131.088952916112
Mexico,25-29,2004,0.128996787366746,Female,128.996787366746
Mexico,25-29,2005,0.127087680239234,Female,127.087680239234
Mexico,25-29,2006,0.12529229169547,Female,125.29229169546998
Mexico,25-29,2007,0.123528642339671,Female,123.528642339671
Mexico,25-29,2008,0.121766171445351,Female,121.76617144535099
Mexico,25-29,2009,0.119995304232862,Female,119.99530423286201
Mexico,25-29,2010,0.118249193234679,Female,118.249193234679
Mexico,25-29,2011,0.116549707987107,Female,116.549707987107
Mexico,25-29,2012,0.11489474071574,Female,114.89474071574
Mexico,25-29,2013,0.113277611140765,Female,113.277611140765
Mexico,25-29,2014,0.111661485762047,Female,111.661485762047
Mexico,25-29,2015,0.110079352240286,Female,110.079352240286
Mexico,25-29,2016,0.108513981422826,Female,108.513981422826
Mexico,25-29,2017,0.10695114259397,Female,106.95114259396999
Mexico,25-29,2018,0.105746273735474,Female,105.746273735474
Mexico,25-29,2019,0.105356750122137,Female,105.356750122137
Mexico,30-34,2002,0.103535635440118,Female,103.535635440118
Mexico,30-34,2003,0.101755590499915,Female,101.755590499915
Mexico,30-34,2004,0.100221049965452,Female,100.221049965452
Mexico,30-34,2005,0.0989152027809805,Female,98.9152027809805
Mexico,30-34,2006,0.0977030511881913,Female,97.7030511881913
Mexico,30-34,2007,0.0964468794459926,Female,96.44687944599261
Mexico,30-34,2008,0.0950845583321128,Female,95.08455833211279
Mexico,30-34,2009,0.0936335199930872,Female,93.63351999308719
Mexico,30-34,2010,0.0921680275336237,Female,92.1680275336237
Mexico,30-34,2011,0.0907602423463477,Female,90.76024234634771
Mexico,30-34,2012,0.0894608604367186,Female,89.46086043671859
Mexico,30-34,2013,0.0883006163255318,Female,88.30061632553179
Mexico,30-34,2014,0.0872169315244562,Female,87.2169315244562
Mexico,30-34,2015,0.086164285102351107,Female,86.1642851023511
Mexico,30-34,2016,0.0851431849821171,Female,85.1431849821171
Mexico,30-34,2017,0.0841467919979938,Female,84.1467919979938
Mexico,30-34,2018,0.0833088799031763,Female,83.3088799031763
Mexico,30-34,2019,0.0830595649528429,Female,83.0595649528429
Mexico,35-39,2002,0.0575022573892491,Female,57.5022573892491
Mexico,35-39,2003,0.0563459056402164,Female,56.3459056402164
Mexico,35-39,2004,0.0553284313324798,Female,55.328431332479795
Mexico,35-39,2005,0.054421491214372,Female,54.421491214372004
Mexico,35-39,2006,0.0535605317334742,Female,53.5605317334742
Mexico,35-39,2007,0.0526841349379159,Female,52.6841349379159
Mexico,35-39,2008,0.0517501614480641,Female,51.750161448064105
Mexico,35-39,2009,0.0507561128346035,Female,50.756112834603506
Mexico,35-39,2010,0.0497443079698739,Female,49.7443079698739
Mexico,35-39,2011,0.048765343047266,Female,48.765343047266
Mexico,35-39,2012,0.0478340765170377,Female,47.8340765170377
Mexico,35-39,2013,0.0469426497812248,Female,46.9426497812248
Mexico,35-39,2014,0.046118339702546,Female,46.118339702546
Mexico,35-39,2015,0.0453737259588704,Female,45.3737259588704
Mexico,35-39,2016,0.044739142213506,Female,44.739142213506
Mexico,35-39,2017,0.0441667008034826,Female,44.166700803482605
Mexico,35-39,2018,0.043720510771763,Female,43.720510771762996
Mexico,35-39,2019,0.0436400194524116,Female,43.6400194524116
Mexico,40-44,2002,0.0170627176260184,Female,17.062717626018397
Mexico,40-44,2003,0.0161713481479727,Female,16.171348147972697
Mexico,40-44,2004,0.0153643257427746,Female,15.3643257427746
Mexico,40-44,2005,0.014640593336078,Female,14.640593336078
Mexico,40-44,2006,0.0139876237084666,Female,13.9876237084666
Mexico,40-44,2007,0.0133770175448616,Female,13.3770175448616
Mexico,40-44,2008,0.0127930899294938,Female,12.7930899294938
Mexico,40-44,2009,0.0122359018488021,Female,12.2359018488021
Mexico,40-44,2010,0.0117040587013938,Female,11.7040587013938
Mexico,40-44,2011,0.0111945006662815,Female,11.1945006662815
Mexico,40-44,2012,0.0106977317972622,Female,10.697731797262199
Mexico,40-44,2013,0.010217466311979,Female,10.217466311978999
Mexico,40-44,2014,0.00991811864449839,Female,9.91811864449839
Mexico,40-44,2015,0.00978389146270752,Female,9.783891462707519
Mexico,40-44,2016,0.00965661705093229,Female,9.65661705093229
Mexico,40-44,2017,0.00954397959461016,Female,9.54397959461016
Mexico,40-44,2018,0.00943545115588921,Female,9.435451155889211
Mexico,40-44,2019,0.00938525846446322,Female,9.38525846446322
Mexico,45-49,2002,0.00283021457220443,Female,2.83021457220443
Mexico,45-49,2003,0.00254669832486606,Female,2.54669832486606
Mexico,45-49,2004,0.00229530008832585,Female,2.29530008832585
Mexico,45-49,2005,0.00207921683458799,Female,2.07921683458799
Mexico,45-49,2006,0.00189402617812796,Female,1.89402617812796
Mexico,45-49,2007,0.00173162508606073,Female,1.73162508606073
Mexico,45-49,2008,0.00159067600265129,Female,1.59067600265129
Mexico,45-49,2009,0.00147009851903868,Female,1.4700985190386802
Mexico,45-49,2010,0.00136428450942913,Female,1.36428450942913
Mexico,45-49,2011,0.00126819574641572,Female,1.26819574641572
Mexico,45-49,2012,0.00117997146401049,Female,1.17997146401049
Mexico,45-49,2013,0.00109851192396762,Female,1.09851192396762
Mexico,45-49,2014,0.00102405310298674,Female,1.0240531029867401
Mexico,45-49,2015,9.57323687831796e-4,Female,0.957323687831796
Mexico,45-49,2016,8.98897049845533e-4,Female,0.8988970498455331
Mexico,45-49,2017,8.47860113906711e-4,Female,0.847860113906711
Mexico,45-49,2018,8.09095401583684e-4,Female,0.809095401583684
Mexico,45-49,2019,7.98910388051584e-4,Female,0.798910388051584
Mexico,50-54,2002,9.59640542463254e-5,Female,0.0959640542463254
Mexico,50-54,2003,8.63508719786281e-5,Female,0.08635087197862809
Mexico,50-54,2004,7.78267147483923e-5,Female,0.0778267147483923
Mexico,50-54,2005,7.04999822500605e-5,Female,0.07049998225006049
Mexico,50-54,2006,6.42207247064882e-5,Female,0.0642207247064882
Mexico,50-54,2007,5.87141926711226e-5,Female,0.0587141926711226
Mexico,50-54,2008,5.39350336564271e-5,Female,0.0539350336564271
Mexico,50-54,2009,4.98466142510839e-5,Female,0.0498466142510839
Mexico,50-54,2010,4.62587797957327e-5,Female,0.0462587797957327
Mexico,50-54,2011,4.30006991693231e-5,Female,0.0430006991693231
Mexico,50-54,2012,4.00092794000495e-5,Female,0.0400092794000495
Mexico,50-54,2013,3.72472316753549e-5,Female,0.0372472316753549
Mexico,50-54,2014,3.47225572545879e-5,Female,0.0347225572545879
Mexico,50-54,2015,3.24599637118068e-5,Female,0.0324599637118068
Mexico,50-54,2016,3.04788923427986e-5,Female,0.0304788923427986
Mexico,50-54,2017,2.87483835195101e-5,Female,0.028748383519510097
Mexico,50-54,2018,2.74339888468431e-5,Female,0.0274339888468431
Mexico,50-54,2019,2.70886457054809e-5,Female,0.0270886457054809
