country,age,date,afr,gender,fertility_rate
United States of America,15-19,2002,0.0419147960888559,Female,41.9147960888559
United States of America,15-19,2003,0.0410578794824167,Female,41.0578794824167
United States of America,15-19,2004,0.0402921649467426,Female,40.2921649467426
United States of America,15-19,2005,0.0404365875876819,Female,40.4365875876819
United States of America,15-19,2006,0.0414159143878149,Female,41.4159143878149
United States of America,15-19,2007,0.0407622778429149,Female,40.7622778429149
United States of America,15-19,2008,0.0389411489642377,Female,38.9411489642377
United States of America,15-19,2009,0.0360594635007663,Female,36.059463500766306
United States of America,15-19,2010,0.0323999870539319,Female,32.3999870539319
United States of America,15-19,2011,0.0299857954555276,Female,29.9857954555276
United States of America,15-19,2012,0.027662849964744,Female,27.662849964743998
United States of America,15-19,2013,0.0249816336303001,Female,24.9816336303001
United States of America,15-19,2014,0.0229965174637027,Female,22.9965174637027
United States of America,15-19,2015,0.0211566129291286,Female,21.1566129291286
United States of America,15-19,2016,0.0194675166499819,Female,19.4675166499819
United States of America,15-19,2017,0.0184495901363171,Female,18.4495901363171
United States of America,15-19,2018,0.0182076721785021,Female,18.2076721785021
United States of America,15-19,2019,0.0184561248068296,Female,18.4561248068296
United States of America,20-24,2002,0.104386153130347,Female,104.38615313034701
United States of America,20-24,2003,0.103556216276648,Female,103.556216276648
United States of America,20-24,2004,0.102482220771876,Female,102.482220771876
United States of America,20-24,2005,0.10459439666759,Female,104.59439666759
United States of America,20-24,2006,0.106727833586125,Female,106.727833586125
United States of America,20-24,2007,0.10425943348099,Female,104.25943348099
United States of America,20-24,2008,0.0993656094856956,Female,99.3656094856956
United States of America,20-24,2009,0.0927296394702394,Female,92.7296394702394
United States of America,20-24,2010,0.087134108776415,Female,87.134108776415
United States of America,20-24,2011,0.084448430610098,Female,84.448430610098
United States of America,20-24,2012,0.082121426620963,Female,82.121426620963
United States of America,20-24,2013,0.080114978662714,Female,80.114978662714
United States of America,20-24,2014,0.0784886419556861,Female,78.48864195568609
United States of America,20-24,2015,0.0755888040572632,Female,75.5888040572632
United States of America,20-24,2016,0.0723533842018495,Female,72.35338420184951
United States of America,20-24,2017,0.0700234765244828,Female,70.0234765244828
United States of America,20-24,2018,0.0688517174024868,Female,68.8517174024868
United States of America,20-24,2019,0.068902573715376,Female,68.90257371537601
United States of America,25-29,2002,0.116128965310204,Female,116.128965310204
United States of America,25-29,2003,0.117313854489225,Female,117.31385448922501
United States of America,25-29,2004,0.117200719726039,Female,117.200719726039
United States of America,25-29,2005,0.118004272936453,Female,118.004272936453
United States of America,25-29,2006,0.119307987880146,Female,119.307987880146
United States of America,25-29,2007,0.117742870420789,Female,117.742870420789
United States of America,25-29,2008,0.113770634383637,Female,113.770634383637
United States of America,25-29,2009,0.109849253555138,Female,109.849253555138
United States of America,25-29,2010,0.107424844143306,Female,107.424844143306
United States of America,25-29,2011,0.106717882415224,Female,106.717882415224
United States of America,25-29,2012,0.105752023100439,Female,105.752023100439
United States of America,25-29,2013,0.105858696131326,Female,105.858696131326
United States of America,25-29,2014,0.106248685721726,Female,106.24868572172599
United States of America,25-29,2015,0.103930725606358,Female,103.930725606358
United States of America,25-29,2016,0.0999037384394931,Female,99.9037384394931
United States of America,25-29,2017,0.0968432978877672,Female,96.8432978877672
United States of America,25-29,2018,0.0959032696596947,Female,95.9032696596947
United States of America,25-29,2019,0.096108136455008,Female,96.108136455008
United States of America,30-34,2002,0.0939852154387529,Female,93.9852154387529
United States of America,30-34,2003,0.095889087703646,Female,95.889087703646
United States of America,30-34,2004,0.0959155725453847,Female,95.9155725453847
United States of America,30-34,2005,0.0971910813432567,Female,97.1910813432567
United States of America,30-34,2006,0.0998122192320108,Female,99.81221923201079
United States of America,30-34,2007,0.100389281679174,Female,100.389281679174
United States of America,30-34,2008,0.0989550217654317,Female,98.9550217654317
United States of America,30-34,2009,0.0971530645409102,Female,97.15306454091021
United States of America,30-34,2010,0.0961248522706147,Female,96.1248522706147
United States of America,30-34,2011,0.0967017044547418,Female,96.7017044547418
United States of America,30-34,2012,0.0969836696334801,Female,96.98366963348009
United States of America,30-34,2013,0.0990222162741216,Female,99.02221627412159
United States of America,30-34,2014,0.101345653644474,Female,101.345653644474
United States of America,30-34,2015,0.101290545298143,Female,101.290545298143
United States of America,30-34,2016,0.100628031504118,Female,100.628031504118
United States of America,30-34,2017,0.100036931458636,Female,100.036931458636
United States of America,30-34,2018,0.099940000732576,Female,99.940000732576
United States of America,30-34,2019,0.100161267797514,Female,100.161267797514
United States of America,35-39,2002,0.042709649556634,Female,42.709649556634
United States of America,35-39,2003,0.0447249621598239,Female,44.724962159823896
United States of America,35-39,2004,0.0458425153680814,Female,45.8425153680814
United States of America,35-39,2005,0.0469906263691321,Female,46.9906263691321
United States of America,35-39,2006,0.0475848106953631,Female,47.584810695363096
United States of America,35-39,2007,0.0470367470705478,Female,47.0367470705478
United States of America,35-39,2008,0.0460981537785963,Female,46.0981537785963
United States of America,35-39,2009,0.0455697961105103,Female,45.569796110510296
United States of America,35-39,2010,0.0462016430549138,Female,46.2016430549138
United States of America,35-39,2011,0.0476420241045088,Female,47.6420241045088
United States of America,35-39,2012,0.0485913556916198,Female,48.591355691619796
United States of America,35-39,2013,0.0500196396983817,Female,50.019639698381695
United States of America,35-39,2014,0.0515566086313067,Female,51.556608631306695
United States of America,35-39,2015,0.0519692811411668,Female,51.969281141166796
United States of America,35-39,2016,0.0521900438309635,Female,52.190043830963496
United States of America,35-39,2017,0.0523438608652688,Female,52.3438608652688
United States of America,35-39,2018,0.0524377309448081,Female,52.4377309448081
United States of America,35-39,2019,0.0524592114080747,Female,52.4592114080747
United States of America,40-44,2002,0.0085604944910975,Female,8.560494491097499
