age,gender,death_2018,country
0-4,Male,1716,France
5-9,Male,144,France
10-14,Male,212,France
15-19,Male,640,France
20-24,Male,1096,France
25-29,Male,1227,France
30-34,Male,1601,France
35-39,Male,2454,France
40-44,Male,3419,France
45-49,Male,6113,France
50-54,Male,9595,France
55-59,Male,14507,France
60-64,Male,20968,France
65-69,Male,27830,France
70-74,Male,30413,France
75-79,Male,31228,France
80-84,Male,42920,France
85-89,Male,50737,France
90-94,Male,36020,France
95+,Male,13684,France
0-4,Female,1352,France
5-9,Female,134,France
10-14,Female,130,France
15-19,Female,273,France
20-24,Female,350,France
25-29,Female,496,France
30-34,Female,685,France
35-39,Female,1107,France
40-44,Female,1915,France
45-49,Female,3318,France
50-54,Female,5204,France
55-59,Female,7776,France
60-64,Female,10504,France
65-69,Female,14490,France
70-74,Female,17369,France
75-79,Female,21262,France
80-84,Female,38451,France
85-89,Female,63330,France
90-94,Female,67877,France
95+,Female,43875,France
0-4,Male,169,Sweden
5-9,Male,12,Sweden
10-14,Male,36,Sweden
15-19,Male,89,Sweden
20-24,Male,202,Sweden
25-29,Male,268,Sweden
30-34,Male,247,Sweden
35-39,Male,268,Sweden
40-44,Male,354,Sweden
45-49,Male,503,Sweden
50-54,Male,938,Sweden
55-59,Male,1293,Sweden
60-64,Male,2162,Sweden
65-69,Male,3542,Sweden
70-74,Male,5575,Sweden
75-79,Male,6522,Sweden
80-84,Male,7564,Sweden
85-89,Male,8034,Sweden
90-94,Male,5616,Sweden
95+,Male,2022,Sweden
0-4,Female,136,Sweden
5-9,Female,19,Sweden
10-14,Female,27,Sweden
15-19,Female,51,Sweden
20-24,Female,87,Sweden
25-29,Female,98,Sweden
30-34,Female,126,Sweden
35-39,Female,125,Sweden
40-44,Female,199,Sweden
45-49,Female,338,Sweden
50-54,Female,560,Sweden
55-59,Female,861,Sweden
60-64,Female,1434,Sweden
65-69,Female,2402,Sweden
70-74,Female,4127,Sweden
75-79,Female,4948,Sweden
80-84,Female,6752,Sweden
85-89,Female,9450,Sweden
90-94,Female,9460,Sweden
95+,Female,5569,Sweden
0-4,Male,147,Denmark
5-9,Male,12,Denmark
10-14,Male,13,Denmark
15-19,Male,57,Denmark
20-24,Male,60,Denmark
25-29,Male,96,Denmark
30-34,Male,114,Denmark
35-39,Male,136,Denmark
40-44,Male,242,Denmark
45-49,Male,405,Denmark
50-54,Male,790,Denmark
55-59,Male,1219,Denmark
60-64,Male,1795,Denmark
65-69,Male,2609,Denmark
70-74,Male,3941,Denmark
75-79,Male,4203,Denmark
80-84,Male,4581,Denmark
85-89,Male,4125,Denmark
90-94,Male,2541,Denmark
95+,Male,906,Denmark
0-4,Female,107,Denmark
5-9,Female,9,Denmark
10-14,Female,6,Denmark
15-19,Female,20,Denmark
20-24,Female,19,Denmark
25-29,Female,34,Denmark
30-34,Female,61,Denmark
35-39,Female,92,Denmark
40-44,Female,155,Denmark
45-49,Female,244,Denmark
50-54,Female,482,Denmark
55-59,Female,779,Denmark
60-64,Female,1126,Denmark
65-69,Female,1765,Denmark
70-74,Female,2778,Denmark
75-79,Female,3349,Denmark
80-84,Female,4182,Denmark
85-89,Female,4797,Denmark
90-94,Female,4541,Denmark
95+,Female,2694,Denmark
